STATE,REGION,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,88
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,570
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,23
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,576
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,23
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,544
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,4
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,9
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,49
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARSON,345
ABIA,SOUTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,89
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,MURDER,97
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,6
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,69
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,6
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,124
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,8945
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,68
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,98
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,104
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,182
ABIA,SOUTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,117
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,4
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,4
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,243
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,4
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,6
ABIA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,11
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,45
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,825
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,62
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,24
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,106
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,5
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,65
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,28
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,ARSON,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,246
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,MURDER,114
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,89
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,4
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,126
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,68
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,24
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,9
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,5
ADAMAWA,NORTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,372
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,37
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,6
ADAMAWA,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,9
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,47
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,6
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,THEFT /STEALING,310
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,BURGLARY,14
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,13
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,168
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FORGERY,11
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,8
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,7
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARSON,4
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,5
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MURDER,81
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,5
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,78
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SUICIDE,0
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,41
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ASSAULT,341
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,CHILD STEALING,52
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SLAVE DEALING,6
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,83
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,KIDNAPPING,11
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,4
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,0
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,3
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,4
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,366
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,PERJURY,2
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,3
AKWA IBOM,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,6
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,484
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,22
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,76
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,7
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,20
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,19
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,43
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARSON,12
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,341
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,MURDER,41
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,2
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,84
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,2
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,537
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,9
ANAMBRA,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,182
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,57
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,33
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,43
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,10
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,5
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,ARSON,9
BAUCHI,NORTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,25
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,MURDER,58
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,1
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,13
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,3
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,33
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,44
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,3
BAUCHI,NORTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,41
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,4
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
BAUCHI,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,148
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,2
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,THEFT /STEALING,266
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,BURGLARY,31
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,11
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,STORE BREAKING,13
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,137
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FORGERY,12
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,41
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARSON,7
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,168
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MURDER,30
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,19
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SUICIDE,15
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,1
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,31
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ASSAULT,187
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,CHILD STEALING,4
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,88
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,KIDNAPPING,53
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,2
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,182
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,87
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,2
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,59
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,5
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,THEFT /STEALING,811
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,BURGLARY,32
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,34
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,STORE BREAKING,90
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,22
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,FORGERY,11
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,3
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,ARSON,8
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,420
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,MURDER,51
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,3
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,6
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,SUICIDE,3
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,2
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,90
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ASSAULT,76
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,CHILD STEALING,45
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,23
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,KIDNAPPING,67
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,9
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,56
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,11
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,6
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,64
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,5
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,23
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,25
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,7
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,357
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,4
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,16
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,44
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,234
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,10
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,11
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,ARSON,4
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,191
