STATE,REGION,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,MURDER,123
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,48
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,12
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,45
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,3
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,73
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,39
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,0
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,97
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,2
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,45
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,194
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,2
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,1
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,112
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,4
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,THEFT /STEALING,624
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,BURGLARY,28
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,25
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,STORE BREAKING,19
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,131
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FORGERY,11
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,31
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARSON,16
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,152
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MURDER,87
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,22
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SUICIDE,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,48
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ASSAULT,347
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,CHILD STEALING,6
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,65
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,KIDNAPPING,31
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,8
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,335
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,49
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,6
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,60
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,11
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,THEFT /STEALING,1586
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,BURGLARY,156
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,146
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,STORE BREAKING,370
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,345
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FORGERY,20
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,19
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,43
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARSON,12
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,341
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MURDER,117
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,2
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,21
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SUICIDE,13
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,325
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ASSAULT,1895
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,CHILD STEALING,9
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,93
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,KIDNAPPING,49
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,141
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,645
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,2
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,537
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,9
DELTA STATE,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,182
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,370
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,7
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,1272
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,45
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,66
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,41
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,562
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,40
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,23
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,64
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARSON,22
EBONYI,SOUTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,275
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,MURDER,204
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,12
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,13
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,4
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,690
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,87
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,6
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,44
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,98
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,26
EBONYI,SOUTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,91
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,23
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,13
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,72
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,6
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,3
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,1
EBONYI,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,34
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,1
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,253
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,THEFT /STEALING,20
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,BURGLARY,36
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,18
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,STORE BREAKING,20
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,5
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FORGERY,8
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,49
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,345
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARSON,89
EDO,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,4
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MURDER,187
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,5
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,98
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SUICIDE,3
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,54
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,178
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ASSAULT,3
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,CHILD STEALING,8
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SLAVE DEALING,16
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,10
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,KIDNAPPING,2
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,85
EDO,SOUTH SOUTH,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,80
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,4
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,243
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,2
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,6
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,11
EDO,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,41
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,52
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,335
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,BURGLARY,0
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,5
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,STORE BREAKING,2
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,45
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,FORGERY,7
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,3
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,13
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,ARSON,15
EKITI,SOUTH WEST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,77
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,MURDER,78
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,4
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,78
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,SUICIDE,2
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,8
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,72
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,ASSAULT,11
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,CHILD STEALING,0
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,51
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,KIDNAPPING,3
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,11
EKITI,SOUTH WEST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,109
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
EKITI,SOUTH WEST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,52
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,30
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,425
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,71
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,71
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,66
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,114
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,29
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,41
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,115
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,ARSON,1
ENUGU,SOUTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,96
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,MURDER,40
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,4
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,31
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,0
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,72
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,621
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,4
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,32
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,25
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,1
ENUGU,SOUTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,105
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,0
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,125
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
ENUGU,SOUTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,384
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,THEFT /STEALING,2586
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,BURGLARY,32
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,129
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,STORE BREAKING,16
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,518
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,FORGERY,7
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,288
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,0
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,ARSON,12
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,188
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,MURDER,91
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,3
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,0
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,SUICIDE,2
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,0
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,429
FEDERAL CAPITAL TERRITORY,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ASSAULT,217
